source_row_key,population_group,geography_level,region_name,province_huc_code,province_huc_name,place_type,food_group_code,source_variable,food_name,rank,percent_consuming,mean_intake_g,sample_size,weighted_population,relative_to_national,survey_years
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Lanao del Sur:DRIED_BEANS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,108,Lanao del Sur,PROVINCE_OR_HUC,DRIED_BEANS,epwt_fg7,Dried Beans,13,14.254307,2.02767,3577,844542.005,0.381844,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Lanao del Sur:MEAT_PRODUCTS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,108,Lanao del Sur,PROVINCE_OR_HUC,MEAT_PRODUCTS,epwt_fg16,Meat and Meat Products,14,7.034777,7.507585,3577,844542.005,0.187408,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Lanao del Sur:STARCHY_ROOTS_TUBERS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,108,Lanao del Sur,PROVINCE_OR_HUC,STARCHY_ROOTS_TUBERS,epwt_fg5,Starchy Roots and Tubers,15,6.088566,5.551672,3577,844542.005,0.93822,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Lanao del Sur:CORN_PRODUCTS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,108,Lanao del Sur,PROVINCE_OR_HUC,CORN_PRODUCTS,epwt_fg3,Corn and Products,16,4.399728,2.343875,3577,844542.005,0.298826,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Lanao del Sur:CONDIMENTS_SPICES,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,108,Lanao del Sur,PROVINCE_OR_HUC,CONDIMENTS_SPICES,epwt_fg26,Condiments and Spices,17,9.440311,0.555183,3577,844542.005,0.317556,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Lanao del Sur:VITAMIN_C_RICH_FRUITS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,108,Lanao del Sur,PROVINCE_OR_HUC,VITAMIN_C_RICH_FRUITS,epwt_fg12,Vitamin C-Rich Fruits,18,1.015818,1.158013,3577,844542.005,0.453118,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Lanao del Sur:OTHER_MISCELLANEOUS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,108,Lanao del Sur,PROVINCE_OR_HUC,OTHER_MISCELLANEOUS,epwt_fg27,Other Miscellaneous,19,1.318479,0.366292,3577,844542.005,0.17949,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Lanao del Sur:MILK_PRODUCTS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,108,Lanao del Sur,PROVINCE_OR_HUC,MILK_PRODUCTS,epwt_fg21,Milk Products,20,0.421795,0.428083,3577,844542.005,0.181424,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Tawi-Tawi:RICE_PRODUCTS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,110,Tawi-Tawi,PROVINCE_OR_HUC,RICE_PRODUCTS,epwt_fg2,Rice and Products,1,97.550109,210.206005,3302,308677.549,0.95818,2021
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Tawi-Tawi:FISH_PRODUCTS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,110,Tawi-Tawi,PROVINCE_OR_HUC,FISH_PRODUCTS,epwt_fg15,Fish and Fish Products,2,85.708119,66.139824,3302,308677.549,1.519104,2021
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Tawi-Tawi:OTHER_CEREAL_PRODUCTS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,110,Tawi-Tawi,PROVINCE_OR_HUC,OTHER_CEREAL_PRODUCTS,epwt_fg4,Other Cereal Products,3,71.224815,46.864956,3302,308677.549,1.05489,2021
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Tawi-Tawi:SUGAR_SYRUPS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,110,Tawi-Tawi,PROVINCE_OR_HUC,SUGAR_SYRUPS,epwt_fg6,Sugar and Syrups,4,55.336375,19.730805,3302,308677.549,0.558284,2021
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Tawi-Tawi:BEVERAGES,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,110,Tawi-Tawi,PROVINCE_OR_HUC,BEVERAGES,epwt_fg25,Beverages,5,65.36851,11.630842,3302,308677.549,0.451444,2021
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Tawi-Tawi:FATS_OILS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,110,Tawi-Tawi,PROVINCE_OR_HUC,FATS_OILS,epwt_fg23,Fats and Oils,6,52.084471,3.844173,3302,308677.549,0.713918,2021
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Tawi-Tawi:DRIED_BEANS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,110,Tawi-Tawi,PROVINCE_OR_HUC,DRIED_BEANS,epwt_fg7,Dried Beans,7,26.079299,2.418832,3302,308677.549,0.455506,2021
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Tawi-Tawi:OTHER_VEGETABLES,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,110,Tawi-Tawi,PROVINCE_OR_HUC,OTHER_VEGETABLES,epwt_fg10,Other Vegetables,8,13.629364,7.684144,3302,308677.549,0.271463,2021
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Tawi-Tawi:EGGS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,110,Tawi-Tawi,PROVINCE_OR_HUC,EGGS,epwt_fg18,Eggs,9,13.762027,5.726064,3302,308677.549,0.423038,2021
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Tawi-Tawi:STARCHY_ROOTS_TUBERS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,110,Tawi-Tawi,PROVINCE_OR_HUC,STARCHY_ROOTS_TUBERS,epwt_fg5,Starchy Roots and Tubers,10,7.193733,19.476559,3302,308677.549,3.291493,2021
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Tawi-Tawi:WHOLE_MILK,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,110,Tawi-Tawi,PROVINCE_OR_HUC,WHOLE_MILK,epwt_fg20,Whole Milk,11,9.180837,5.250113,3302,308677.549,0.546806,2021
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Tawi-Tawi:GREEN_LEAFY_YELLOW_VEGETABLES,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,110,Tawi-Tawi,PROVINCE_OR_HUC,GREEN_LEAFY_YELLOW_VEGETABLES,epwt_fg9,Green Leafy and Yellow Vegetables,12,11.071006,3.195985,3302,308677.549,0.220091,2021
